Id,TypeId,PhaseCreated,PhaseDemolished,DesignOption,AssemblyName,IfcGUID,Area,HostId,Width,Height,Comments,Mark,ValueGroup
379201,20916,118390,,,,,1.45306161,376808,0.62865,2.3114,,,
379208,20916,118390,,,,,1.52644856,376808,0.6604,2.3114,,,
379235,20916,118390,,,,,0.1467739,376666,0.0635,2.3114,,,
379259,20916,118390,,,,,1.695102631,376627,0.733366198,2.3114,,,
379266,20916,118390,,,,,1.76848958,376627,0.765116198,2.3114,,,
379268,20916,118390,,,,,1.76848958,376627,0.765116198,2.3114,,,
379270,20916,118390,,,,,1.76848958,376627,0.765116198,2.3114,,,
379272,20916,118390,,,,,1.76848958,376627,0.765116198,2.3114,,,
379274,20916,118390,,,,,1.76848958,376627,0.765116198,2.3114,,,
379342,20916,118390,,,,,1.463062398,376354,0.632976723,2.3114,,,
379344,20916,118390,,,,,1.751609804,376354,0.757813361,2.3114,,,
379346,20916,118390,,,,,1.678222854,376354,0.726063361,2.3114,,,
380032,20916,118390,,,,,1.883681717,361876,0.80391,2.34315,,,
380033,20916,118390,,,,,1.800359303,380017,0.76835,2.34315,,,
380041,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380043,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380045,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380047,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380049,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380051,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380053,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380055,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380057,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380059,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380061,20916,118390,,,,,1.958076729,361876,0.83566,2.34315,,,
380063,20916,118390,,,,,0.903554645,361876,0.80391,1.12395,,,
380064,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380065,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380066,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380067,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380068,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380069,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
380070,20916,118390,,,,,0.939240057,361876,0.83566,1.12395,,,
